Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
139211 (2001 GN2),139211,2001 GN2,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.86,0.4523,26.07,173.56,3.36,358.93,0.894,17.92,,,,926,2.54,21.85,2.7,1.02,,
2010 UY6,2010 UY6,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.652,0.6163,19.87,9.03,20.34,169.83,0.712,20.2,0.03,,,1580,4.33,18.26,4.29,1.02,,
2018 JD5,2018 JD5,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.35,0.5539,3.63,269.38,31.01,303.35,0.596,18.8,,,,1320,3.62,19.37,3.65,1.05,,
39572 (1993 DQ1),39572,1993 DQ1,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,1,2459396.5,2.037,0.4923,10.02,313.55,344.83,157.61,1.554,16.46,0.184,,,1060,2.9,20.91,3.04,1.03,,
242216 (2003 RN10),242216,2003 RN10,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest,ఎవెరెస్టు పర్వతం అంత,1,1,2459396.5,2.23,0.5411,39.64,267.21,4.62,132.85,2.532,15.66,,,,1220,3.34,19.89,3.44,1.02,,
2014 MP5,2014 MP5,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.165,0.5215,9.76,133.41,183.11,57.96,0.15,21.8,,,,1160,3.18,20.3,3.29,1.04,,
2016 CJ195,2016 CJ195,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.603,0.3436,25.52,352.39,356.66,12.02,0.544,19,,,,741,2.03,23.53,2.15,1.05,,
2015 MT96,2015 MT96,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.261,0.5361,10.43,177.62,173.25,244.69,0.596,18.8,,,,1240,3.4,19.84,3.47,1.05,,
1627 Ivar (1929 SH),1627 ఈవర్,1929 SH,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,0,2459396.5,1.863,0.3968,8.45,133.12,167.79,49.97,9.12,12.67,0.15,S,S,929,2.55,21.82,2.6,1.12,4.8,
67367 (2000 LY27),67367,2000 LY27,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,1,2459396.5,1.309,0.2127,9.02,264.53,184.82,176.15,1.323,17.07,,,,547,1.5,26.03,1.59,1.03,,
455687 (2005 EK94),455687,2005 EK94,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.978,0.4796,14.18,103.05,154.96,278.64,0.474,19.3,,,,1020,2.79,21.1,2.93,1.03,,
3199 Nefertiti (1982 RA),3199 నెఫెర్టిటి,1982 RA,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,0,2459396.5,1.574,0.2842,32.96,339.99,53.42,198.34,2.2,14.84,0.42,S,Sq,722,1.98,23.72,2.02,1.13,3.02,
2002 PR1,2002 PR1,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.493,0.588,6.59,148.28,208.36,274.88,0.143,21.9,,,,1440,3.95,18.83,3.96,1.03,,
529753 (2010 MF1),529753,2010 MF1,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,2.499,0.5885,9.1,286.96,27.84,272.11,0.363,19.6,0.178,,,1440,3.95,18.88,3.97,1.03,,
2004 RQ10,2004 RQ10,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.865,0.4415,5.68,335.23,349.55,223.23,0.227,20.9,,,,930,2.55,21.82,2.69,1.04,5.69,
2003 MU,2003 MU,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.053,0.4951,5.9,143.64,175.61,26.11,0.285,20.4,,,,1070,2.93,20.87,3.07,1.04,,
