Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
385186 (1994 AW1),385186,1994 AW1,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459400.5,1.105,0.0758,24.1,290.36,37,17.16,0.811,17.56,0.223,,Sa,424,1.16,28.35,1.19,1.02,2.52,
458436 (2011 AL52),458436,2011 AL52,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.805,0.6354,13.43,272.71,171.75,72.56,1.102,17.4,0.159,,,1720,4.71,17.74,4.59,1.02,,
423321 (2005 ED318),423321,2005 ED318,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,1.85,0.4496,2.39,82.06,164.21,144.35,0.202,20.8,0.212,,,919,2.52,21.9,2.68,1.02,17.16,
2017 MV2,2017 MV2,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.327,0.5503,7.52,172.85,167.5,25.56,0.237,20.8,,,,1300,3.56,19.47,3.61,1.05,,
2009 DZ42,2009 DZ42,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.446,0.5835,13.11,295.14,183.47,86.41,0.413,19.6,,,,1400,3.84,19.01,3.87,1.02,,
2008 NQ3,2008 NQ3,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2454669.5,2.451,0.5817,27.17,109.39,155.3,9.77,0.299,20.3,,,,1400,3.84,19.05,3.88,1.03,,
2014 AF51,2014 AF51,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.786,0.4293,2.79,237.76,330.12,0.09,0.285,20.4,,,,872,2.39,22.28,2.55,1.02,,
89830 (2002 CE),89830,2002 CE,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,1,2459396.5,2.077,0.5071,43.65,19.9,5.8,217.03,5.067,14.96,0.079,,,1090,2.99,20.73,3.13,1.02,2.61,
2006 HW57,2006 HW57,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.147,0.5188,7.12,250.93,34.08,274.88,0.285,20.4,,,,1150,3.15,20.31,3.26,1.03,,
2012 QQ10,2012 QQ10,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.935,0.4684,3.96,65.55,227.95,122.18,0.227,20.9,,,,983,2.69,21.42,2.84,1.03,,
2012 VL6,2012 VL6,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.343,0.5655,8.73,19.47,19.26,144.58,0.237,20.8,,,,1310,3.59,19.46,3.67,1.02,,
2020 DB5,2020 DB5,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.129,0.5177,11.71,77.82,188.87,132.34,0.474,19.3,,,,1130,3.1,20.5,3.23,1.03,,
2013 AN20,2013 AN20,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.465,0.3048,23.07,105.36,355.85,282.78,0.15,21.8,,,,647,1.77,24.63,1.91,1.02,,
2016 TZ17,2016 TZ17,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.703,0.6221,3.99,308.98,31.89,28.39,0.197,21.2,,,,1620,4.44,18.15,4.38,1.02,,
2002 TP69,2002 TP69,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.946,0.4691,1.97,94.63,316.73,310.09,0.142,21.91,,,,992,2.72,21.34,2.86,1.03,,
2006 LK,2006 LK,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.856,0.6389,10.18,157.78,194.24,16.41,0.394,19.7,,,,1760,4.82,17.65,4.68,1.03,,
2017 YT5,2017 YT5,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.796,0.4194,36.48,133.54,197.01,273.87,0.544,19,,,,879,2.41,22.23,2.55,1.04,,
2006 HQ30,2006 HQ30,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.597,0.6067,12.02,85.5,180.07,208.26,0.197,21.2,,,,1530,4.19,18.47,4.17,1.02,,
2017 AM4,2017 AM4,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.42,0.269,60.28,129.08,176.57,38.98,0.519,19.1,,,,618,1.69,25,1.8,1.04,,
2000 PP9,2000 PP9,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.329,0.5511,5.6,171.69,159.6,315.2,0.519,19.1,,,,1300,3.56,19.49,3.61,1.05,,
2013 AX52,2013 AX52,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.198,0.1221,32.6,289.12,356.64,347.49,0.307,20.24,,,,479,1.31,27.21,1.34,1.05,,
2004 SS,2004 SS,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.197,0.529,6.52,1.38,353.3,57.78,0.143,21.9,,,,1190,3.26,20.09,3.36,1.03,58,
482250 (2011 LL2),482250,2011 LL2,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.134,0.0964,24.68,68.25,163.6,136.17,0.359,19.9,,,,441,1.21,27.97,1.24,1.02,0.1,
526587 (2006 TB),526587,2006 TB,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.562,0.3246,27.57,169.31,180.96,205.63,0.338,20.03,,,,713,1.95,23.83,2.07,1.05,,
2005 PA5,2005 PA5,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.322,0.2268,15.33,133.06,149.04,189.27,0.15,21.8,,,,555,1.52,25.91,1.62,1.02,,
2015 BP515,2015 BP515,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.251,0.1715,17.75,134.35,196.56,19.83,0.207,21.1,,,,511,1.4,26.63,1.47,1.04,,
138524 (2000 OJ8),138524,2000 OJ8,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest,ఎవెరెస్టు పర్వతం అంత,1,1,2459396.5,2.356,0.5678,6.25,226.6,181.23,240.09,1.568,16.7,,,Sr,1320,3.62,19.42,3.69,1.02,2.68,
2018 KB1,2018 KB1,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.666,0.3737,12.13,107.3,171.74,152.39,0.26,20.6,,,,786,2.15,23.06,2.29,1.04,,
2019 MF1,2019 MF1,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.536,0.3189,9.76,285.29,5.35,14.1,0.15,21.8,,,,696,1.91,24.01,2.03,1.05,,
2019 UX13,2019 UX13,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.519,0.3273,12.49,188.58,155.15,355.62,0.189,21.3,,,,684,1.87,24.16,2.02,1.02,,
2010 CJ188,2010 CJ188,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2455234.5,1.541,0.3362,22.21,104.01,14.33,19.38,0.137,22,,,,698,1.91,24.02,2.06,1.02,,
2015 XW377,2015 XW377,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.525,0.5944,12.76,143.45,9.54,118.48,0.15,21.8,,,,1470,4.03,18.69,4.03,1.02,,
2014 WD201,2014 WD201,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.096,0.5023,8.47,105.71,199.82,127.25,0.496,19.2,,,,1110,3.04,20.54,3.15,1.04,,
533011 (2014 AY28),533011,2014 AY28,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.426,0.2825,5.71,169.59,22.65,94.29,0.204,21.84,,,,622,1.7,24.94,1.83,1.02,0.91,
2020 XE6,2020 XE6,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.415,0.5725,9.51,333.95,21.49,86.38,0.345,19.99,,,,1370,3.75,19.18,3.8,1.03,,
2002 GZ8,2002 GZ8,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.823,0.6395,5.32,309.78,161.49,37.13,0.616,18.73,,,,1730,4.74,17.75,4.63,1.02,,
2014 SS1,2014 SS1,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.123,0.5185,1.48,358.32,341.57,73.5,0.157,21.7,,,,1130,3.1,20.44,3.22,1.02,16.63,
2011 KO17,2011 KO17,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.402,0.5752,4.04,256.54,308.7,266.6,0.313,20.2,,,,1360,3.73,19.21,3.78,1.02,,
38071 (1999 GU3),38071,1999 GU3,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.09,0.507,12.73,195.49,8.84,129.07,0.436,19.48,,,,1100,3.01,20.67,3.15,1.03,216,
2011 UV63,2011 UV63,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.193,0.1338,9.79,13.67,189.82,342.05,0.218,21.7,,,,476,1.3,27.27,1.35,1.03,,
523818 (2010 SH13),523818,2010 SH13,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.206,0.137,13.86,190.59,10.96,198.02,0.274,21.2,,,,484,1.33,27.11,1.37,1.04,,
2014 TY33,2014 TY33,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.413,0.2616,18.66,196.54,180.52,0.82,0.15,21.8,,,,613,1.68,25.08,1.78,1.04,,
2012 XY6,2012 XY6,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.008,0.4917,7.79,348.36,173.29,327.19,0.519,19.1,,,,1040,2.85,21,3,1.02,,
2015 LK24,2015 LK24,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,2.671,0.618,14.42,94.9,202.51,132.17,0.306,21.6,0.043,,,1590,4.36,18.28,4.32,1.02,18.55,
453778 (2011 JK),453778,2011 JK,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.912,0.4635,6.69,203.34,10.87,294.26,0.663,18.57,,,,965,2.64,21.56,2.8,1.03,2.46,
1916 Boreas (1953 RA),1916 బోరిస్,1953 RA,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,island of Manhattan ,అండమాన్ దీవుల అంత ,1,0,2459396.5,2.272,0.4498,12.88,340.6,335.9,293.55,3.5,14.88,,S,S,1250,3.42,19.77,3.29,1.25,3.47,
3102 Krok (1981 QA),3102 క్రోక్,1981 QA,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,0,2459396.5,2.151,0.4494,8.44,172.05,154.78,225.54,1.6,16.15,,QRS,S,1150,3.15,20.35,3.12,1.18,149.4,
2017 CS,2017 CS,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.608,0.6096,6.88,240.29,358.91,350.85,0.366,19.86,,,,1540,4.22,18.42,4.2,1.02,40.34,
2021 HK12,2021 HK12,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,3.284,0.6846,47.04,187.07,168.78,329.88,0.99,17.7,,,,2170,5.95,16.46,5.53,1.04,,
2012 LZ1,2012 LZ1,,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,2.556,0.5904,26.11,264.51,14.3,73.49,1.252,19.9,0.012,,,1490,4.08,18.66,4.07,1.05,12.87,
2018 EJ4,2018 EJ4,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.257,0.1834,10.39,78.1,188.25,55.83,0.25,21.4,,,,515,1.41,26.55,1.49,1.03,7.49,
2008 DD,2008 DD,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.943,0.4638,15.35,355.51,186.74,328.03,0.285,20.4,,,,989,2.71,21.37,2.84,1.04,,
433 Eros (A898 PA),433 ఎరోస్,A898 PA,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,city of Philadelphi,హైదరాబాద్ నగరం లో సగం,1,0,2459396.5,1.458,0.2229,10.83,304.3,178.86,132.77,16.84,10.43,0.25,S,S,643,1.76,24.67,1.78,1.13,5.27,
1580 Betulia (1950 KA),1580 బెటాలియా,1950 KA,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,0,2459396.5,2.197,0.4872,52.08,62.29,159.51,314.9,5.8,14.69,0.08,C,,1190,3.26,20.09,3.27,1.13,6.13,"water, iron, nickel, cobalt, nitrogen, and ammonia."
391211 (2006 HZ51),391211,2006 HZ51,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,1.898,0.45,12.41,84.29,193.38,253.01,0.412,18.53,0.415,,,955,2.62,21.62,2.75,1.04,,
2202 Pele (1972 RA),2202 పేలే,1972 RA,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,0,2459396.5,2.291,0.5124,8.74,169.93,217.9,13.76,1.299,17.11,,,,1270,3.48,19.63,3.46,1.12,,
2004 KE17,2004 KE17,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2453157.5,2.799,0.622,26.96,68.92,175.29,0.76,0.172,21.5,,,,1710,4.68,17.81,4.54,1.06,,
531944 (2013 CU83),531944,2013 CU83,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.284,0.1822,10.35,303.41,18.56,81.73,0.25,21.4,,,,531,1.45,26.31,1.52,1.05,,
2017 OP68,2017 OP68,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.493,0.5879,14.76,353.58,335.59,351.69,0.219,20.98,,,,1440,3.95,18.83,3.96,1.03,58.4,
2017 RL,2017 RL,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.438,0.5806,19.55,344.8,347.66,5.34,0.654,18.6,,,,1390,3.81,19.08,3.85,1.02,,
2018 LL2,2018 LL2,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.623,0.6035,19.81,209.65,7.6,265.21,0.343,20,,,,1550,4.25,18.41,4.21,1.04,,
2011 OA,2011 OA,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.159,0.5196,9.15,280.88,28.13,46.34,0.197,21.2,,,,1160,3.18,20.25,3.28,1.04,,
138095 (2000 DK79),138095,2000 DK79,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest,ఎవెరెస్టు పర్వతం అంత,1,1,2459396.5,1.777,0.4144,60.68,43.46,2.55,79.02,2.175,15.99,,,,865,2.37,22.35,2.51,1.04,4.24,
2007 DS84,2007 DS84,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.866,0.4469,8.91,30.61,172.78,207.23,0.237,20.8,,,,931,2.55,21.8,2.7,1.03,,
285263 (1998 QE2),285263,1998 QE2,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,1,2459396.5,2.423,0.5716,12.86,250.11,345.71,54.25,1.212,17.26,,,,1380,3.78,19.1,3.81,1.04,4.75,
417419 (2006 KL21),417419,2006 KL21,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.199,0.1273,9.36,117.21,214.21,98.14,0.318,20.88,,,,480,1.32,27.17,1.35,1.05,,
2019 KB4,2019 KB4,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.89,0.4519,17.52,134.77,192.04,267.91,0.394,19.7,,,,949,2.6,21.67,2.74,1.04,,
2020 UQ4,2020 UQ4,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.268,0.5436,10.41,292.68,356.3,115.63,0.299,20.3,,,,1250,3.42,19.74,3.5,1.04,,
887 Alinda (A918 AA),887 ఆలిందా,A918 AA,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,island of Manhattan ,అండమాన్ దీవుల అంత ,1,0,2459396.5,2.474,0.5705,9.39,110.43,350.51,34.9,4.2,13.87,0.31,S,,1420,3.89,18.95,3.89,1.06,28.41,
